Cidade;Sexo;Idade;Estado Civil;Filhos;Escolaridade;Tempo de atuação;Vínculo de trabalho;Carga horária semanal;Turnos de trabalho semanal;Número de alunos por turma;Pluriemprego;Possui Sintomas Osteomusculares?
Paulo Lopes;Feminino;Acima de 40 anos;Com companheiro;Sim;Graduação;Até 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Sim
Paulo Lopes;Feminino;Até 30 anos;Com companheiro;Não;Especialização;Até 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Sim
Paulo Lopes;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Graduação;Até 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Sim;Não
Paulo Lopes;Feminino;Entre 31 a 40 anos;Com companheiro;Não;Especialização;Até 10 anos;Efetivo;Até 20 horas;1 turno;Até 30 alunos;Não;Não
Paulo Lopes;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;Até 20 horas;1 turno;Até 30 alunos;Não;Sim
Paulo Lopes;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Sim;Não
Paulo Lopes;Feminino;Entre 31 a 40 anos;Com companheiro;Não;Especialização;Até 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Não
Paulo Lopes;Feminino;Até 30 anos;Sem companheiro;Não;Graduação;Até 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Não
Paulo Lopes;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;Até 20 horas;1 turno;Até 30 alunos;Não;Não
Paulo Lopes;Feminino;Até 30 anos;Com companheiro;Sim;Especialização;Até 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Não
Paulo Lopes;Feminino;Acima de 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;Até 20 horas;1 turno;Até 30 alunos;Não;Sim
Paulo Lopes;Feminino;Acima de 40 anos;Com companheiro;Sim;Graduação;Acima de 10 anos;Efetivo;Até 20 horas;1 turno;Até 30 alunos;Sim;Não
Paulo Lopes;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Não
